Community,vacant_2010,vacant_2020,Value Change,Percent Change
Allendale/Irvington/S. Hilton,4.3,6.5,2.2,2.2%
Baltimore City,7.9,7.7,-0.2,-0.2%
Beechfield/Ten Hills/West Hills,0.3,0.6,0.3,0.3%
Belair-Edison,1.4,3.3,1.9,1.9%
Brooklyn/Curtis Bay/Hawkins Point,3.7,8.1,4.4,4.4%
Canton,0.9,0.4,-0.5,-0.5%
Cedonia/Frankford,0.7,1.2,0.5,0.5%
Cherry Hill,3.4,6,2.6,2.6%
Chinquapin Park/Belvedere,0.3,0.8,0.5,0.5%
Claremont/Armistead,0,0.1,NA,NA
Clifton-Berea,24.5,23.7,-0.8,-0.8%
Cross-Country/Cheswolde,0.1,0.2,0.1,0.1%
Dickeyville/Franklintown,1.5,1.9,0.4,0.4%
Dorchester/Ashburton,3.3,3.2,-0.1,-0.1%
Downtown/Seton Hill,8.4,9.3,0.9,0.9%
Edmondson Village,2.6,3.9,1.3,1.3%
Fells Point,1,0.9,-0.1,-0.1%
Forest Park/Walbrook,5.6,5.9,0.3,0.3%
Glen-Fallstaff,0.7,1.1,0.4,0.4%
Greater Charles Village/Barclay,9.6,4.2,-5.4,-5.4%
Greater Govans,4.1,3.6,-0.5,-0.5%
Greater Mondawmin,10.3,13.9,3.6,3.6%
Greater Roland Park/Poplar Hill,0.1,0.1,0,
Greater Rosemont,14.9,19.1,4.2,4.2%
Greenmount East,38.6,29.2,-9.4,-9.4%
Hamilton,0.3,1,0.7,0.7%
Harbor East/Little Italy,1.6,1.6,0,
Harford/Echodale,0.2,0.7,0.5,0.5%
Highlandtown,1,1.2,0.2,0.2%
Howard Park/West Arlington,2,1.8,-0.2,-0.2%
Inner Harbor/Federal Hill,0.6,0.4,-0.2,-0.2%
Lauraville,0.7,1.2,0.5,0.5%
Loch Raven,0.1,0.4,0.3,0.3%
Madison/East End,25.7,18.7,-7,-7%
Medfield/Hampden/Woodberry/Remington,1,0.7,-0.3,-0.3%
Midtown,5.3,1.2,-4.1,-4.1%
Midway/Coldstream,16.6,19.8,3.2,3.2%
Morrell Park/Violetville,1.6,1.9,0.3,0.3%
Mount Washington/Coldspring,0.1,0.2,0.1,0.1%
North Baltimore/Guilford/Homeland,0.2,0.5,0.3,0.3%
Northwood,0.2,0.5,0.3,0.3%
Oldtown/Middle East,40.1,9.9,-30.2,-30.2%
Orangeville/East Highlandtown,1.4,1.1,-0.3,-0.3%
Patterson Park North & East,5.3,3.5,-1.8,-1.8%
Penn North/Reservoir Hill,16.4,15.8,-0.6,-0.6%
Pimlico/Arlington/Hilltop,13.1,15,1.9,1.9%
Poppleton/The Terraces/Hollins Market,18.7,9.3,-9.4,-9.4%
Sandtown-Winchester/Harlem Park,31,31.9,0.9,0.9%
South Baltimore,1,0.2,-0.8,-0.8%
Southeastern,0.5,1.1,0.6,0.6%
Southern Park Heights,17.7,18,0.3,0.3%
Southwest Baltimore,25.2,29.9,4.7,4.7%
The Waverlies,3.5,4.3,0.8,0.8%
Upton/Druid Heights,35.5,27,-8.5,-8.5%
Washington Village/Pigtown,8.7,5.7,-3,-3%
Westport/Mount Winans/Lakeland,8.1,7.4,-0.7,-0.7%